Medicamento,Especie de destino,Reacciones Adversas
ALVEBUTON 100 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO CABALLOS OVINO CAPRINO,Ovino,Hemorragia en el punto de inyección
ALVEBUTON 100 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO CABALLOS OVINO CAPRINO,Caballos,Hemorragia en el punto de inyección
HISTODINE 10 mg/ml SOLUCION INYECTABLE PARA BOVINO,Bovino,Ninguna
DIALINA SUSPENSIÓN INYECTABLE,Gatos,Reacción en el punto de inyección
DIALINA SUSPENSIÓN INYECTABLE,Porcino,Reacción en el punto de inyección
DIALINA SUSPENSIÓN INYECTABLE,Perros,Reacción en el punto de inyección
REPOSE 500 mg/ml SOLUCION INYECTABLE,Porcino,Temblor muscular
REPOSE 500 mg/ml SOLUCION INYECTABLE,Gatos,Temblor muscular
REPOSE 500 mg/ml SOLUCION INYECTABLE,Ovino,Temblor muscular
REPOSE 500 mg/ml SOLUCION INYECTABLE,Caprino,Temblor muscular
REPOSE 500 mg/ml SOLUCION INYECTABLE,Perros,Temblor muscular
REPOSE 500 mg/ml SOLUCION INYECTABLE,Caballos,Temblor muscular
REPOSE 500 mg/ml SOLUCION INYECTABLE,Bovino,Temblor muscular
CYTOPOINT 10 mg SOLUCION INYECTABLE PARA PERROS,Perros,Anafilaxia
CYTOPOINT 40 mg SOLUCION INYECTABLE PARA PERROS,Perros,Anafilaxia
CYTOPOINT 30 mg SOLUCION INYECTABLE PARA PERROS,Perros,Anafilaxia
CUROFEN 50 mg/g  PREMEZCLA MEDICAMENTOSA PARA PORCINO,Porcino,Ninguna
EXZOLT 10 mg/ml SOLUCION PARA USO EN AGUA DE BEBIDA PARA AVES.,Gallinas,Ninguna
OCNIL 400 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Irritabilidad
"PAROFOR 140 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA, O EN LECHE O EN LACTORREEMPLAZANTE PARA BOVINO PRERRUMIANTE Y PORCINO",Porcino,Nefrotoxicidad
POLIVIT AD3E SOLUCION INYECTABLE,Ovino,Ninguna
POLIVIT AD3E SOLUCION INYECTABLE,Porcino,Ninguna
POLIVIT AD3E SOLUCION INYECTABLE,Bovino,Ninguna
MYODINE 25 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Hiperfosfatemia
MYODINE 25 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Hiperfosfatemia
DOXYBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,ESOFAGITIS
DOXYBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,ESOFAGITIS
SPIZOBACTIN 750.000 UI / 125 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Hematuria
SPIZOBACTIN 1.500.000 UI / 250 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Hematuria
SPIZOBACTIN 3.000.000 UI / 500 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Hematuria
OPHTOCYCLINE 10 mg/g POMADA OFTALMICA PARA PERROS GATOS Y CABALLOS # OPHTOCYCLINE 10 MG/G POMADA OFTALMICA PARA PERROS GATOS Y CABALLOS,Perros,Prurito local
OPHTOCYCLINE 10 mg/g POMADA OFTALMICA PARA PERROS GATOS Y CABALLOS # OPHTOCYCLINE 10 MG/G POMADA OFTALMICA PARA PERROS GATOS Y CABALLOS,Gatos,Prurito local
OPHTOCYCLINE 10 mg/g POMADA OFTALMICA PARA PERROS GATOS Y CABALLOS # OPHTOCYCLINE 10 MG/G POMADA OFTALMICA PARA PERROS GATOS Y CABALLOS,Caballos,Prurito local
"FIPROTEC SPRAY 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA GATOS Y PERROS",Gatos,Hipersalivación
"FIPROTEC SPRAY 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA GATOS Y PERROS",Perros,Hipersalivación
TETRACICLINA SUPER'S DIANA POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Decoloración dental
PREVOMAX 10 MG/ML SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Dolor en el punto de inyección
PREVOMAX 10 MG/ML SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Dolor en el punto de inyección
ESTREPTOLAB 250 mg/ml SOLUCION INYECTABLE,Porcino,Inflamación en el punto de inyección
CANIGEN L4 SUSPENSION INYECTABLE PARA PERROS,Perros,Anafilaxia
TENICIPEN,Perros,Diarrea
TENICIPEN,Gatos,Diarrea
NOBIVAC LEUFEL SUSPENSION INYECTABLE PARA GATOS,Gatos,Shock anafiláctico
"FLUDOPREX 50 mg/g PREMEZCLA MEDICAMENTOSA PARA PORCINO, POLLOS Y FAISANES",Porcino,Ninguna
INTRA-EPICAINE 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS,Caballos,Depresión del sistema nervioso central
LINCOSAN 800 mg/g POLVO PARA ADMINISTRACIÓN EN AGUA DE BEBIDA,Porcino,Reacción de hipersensibilidad
VITACEN AD3E,Caballos,Absceso en el punto de inyección
VITACEN AD3E,Caprino,Absceso en el punto de inyección
VITACEN AD3E,Porcino,Absceso en el punto de inyección
VITACEN AD3E,Bovino,Absceso en el punto de inyección
VITACEN AD3E,Ovino,Absceso en el punto de inyección
MEPIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS,Caballos,Inflamación local
TRALIEVE 50 mg/ml SOLUCION INYECTABLE PARA PERROS,Perros,Náusea
"DEXACORTONE 0,5 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS",Gatos,Hiperexcitación
"DEXACORTONE 0,5 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS",Perros,Hiperexcitación
"DEXACORTONE 2,0 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS",Gatos,Hiperexcitación
"DEXACORTONE 2,0 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS",Perros,Hiperexcitación
SEVOTEK 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR PARA PERROS Y GATOS,Perros,Arritmia ventricular
SEVOTEK 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR PARA PERROS Y GATOS,Gatos,Arritmia ventricular
BELFER 100 mg/ml SOLUCIÓN INYECTABLE PARA CABALLOS  BOVINO  PORCINO OVINO CAPRINO Y PERROS,Ovino,Reacción anafilactoide
BELFER 100 mg/ml SOLUCIÓN INYECTABLE PARA CABALLOS  BOVINO  PORCINO OVINO CAPRINO Y PERROS,Porcino,Reacción anafilactoide
BELFER 100 mg/ml SOLUCIÓN INYECTABLE PARA CABALLOS  BOVINO  PORCINO OVINO CAPRINO Y PERROS,Caprino,Reacción anafilactoide
BELFER 100 mg/ml SOLUCIÓN INYECTABLE PARA CABALLOS  BOVINO  PORCINO OVINO CAPRINO Y PERROS,Perros,Reacción anafilactoide
BELFER 100 mg/ml SOLUCIÓN INYECTABLE PARA CABALLOS  BOVINO  PORCINO OVINO CAPRINO Y PERROS,Bovino,Reacción anafilactoide
DIATRIM 200 mg/ml + 40 mg/ml SOLUCION INYECTABLE,Bovino,Ninguna
DIATRIM 200 mg/ml + 40 mg/ml SOLUCION INYECTABLE,Perros,Ninguna
DIATRIM 200 mg/ml + 40 mg/ml SOLUCION INYECTABLE,Porcino,Ninguna
DIATRIM 200 mg/ml + 40 mg/ml SOLUCION INYECTABLE,Gatos,Ninguna
VIGANTOL E COMPUESTO,Ovino,Absceso en el punto de inyección
VIGANTOL E COMPUESTO,Caballos,Absceso en el punto de inyección
VIGANTOL E COMPUESTO,Bovino,Absceso en el punto de inyección
VIGANTOL E COMPUESTO,Caprino,Absceso en el punto de inyección
ADEX-3-FORTE,Bovino,Absceso local
ADEX-3-FORTE,Caprino,Absceso local
ADEX-3-FORTE,Ovino,Absceso local
ADEX-3-FORTE,Porcino,Absceso local
"LIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS # LIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS, PERROS Y GATOS",Perros,Hiperexcitación
"LIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS # LIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS, PERROS Y GATOS",Caballos,Hiperexcitación
"LIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS # LIDOR 20 mg/ml SOLUCION INYECTABLE PARA CABALLOS, PERROS Y GATOS",Gatos,Hiperexcitación
GABBROVET 140 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA  LECHE O LACTORREMPLAZANTE PARA TERNEROS PRE-RUMIANTES Y PORCINO,Porcino,Ninguna
DOXYVETO 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA/LACTORREMPLAZANTE PARA BOVINO PORCINO Y POLLOS,Porcino,Alergia
MOXAPULVIS 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Pavos,Alergia
MOXAPULVIS 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Alergia
MOXAPULVIS 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Patos,Alergia
FIPROTEC 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,Perros,Decoloración local de la piel
SOLIDAGO COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,Caballos,Ninguna
SOLIDAGO COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,Gatos,Ninguna
SOLIDAGO COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,Bovino,Ninguna
SOLIDAGO COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,Ovino,Ninguna
SOLIDAGO COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,Caprino,Ninguna
SOLIDAGO COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,Porcino,Ninguna
DIAZEDOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Alteración del comportamiento
DIAZEDOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Alteración del comportamiento
GALLIPRANT 100 mg COMPRIMIDOS PARA PERROS,Perros,Diarrea sanguinolenta
GALLIPRANT 60 mg COMPRIMIDOS PARA PERROS,Perros,Diarrea sanguinolenta
R-COMPLEX-B SOLUCION INYECTABLE,Bovino,Dolor en el punto de inyección
R-COMPLEX-B SOLUCION INYECTABLE,Caprino,Dolor en el punto de inyección
R-COMPLEX-B SOLUCION INYECTABLE,Porcino,Dolor en el punto de inyección
R-COMPLEX-B SOLUCION INYECTABLE,Ovino,Dolor en el punto de inyección
FIPROSMET 50 mg/60 mg SOLUCION SPOT-ON PARA GATOS Y HURONES # FIPNIL 50 mg/60 mg SOLUCION SPOT-ON PARA GATOS Y HURONES,Gatos,Hipersalivación
ROLAXIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Bovino,Reacción en el punto de inyección
ROLAXIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Porcino,Reacción en el punto de inyección
ROLAXIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Caprino,Reacción en el punto de inyección
ROLAXIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Ovino,Reacción en el punto de inyección
PULMOVET 250 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA O LACTORREMPLAZANTE PARA  BOVINO PORCINO POLLOS Y PAVOS # PULMOVET 250 mg/ml SOLUCION PARA ADMINISTRACIÓN EN AGUA DE BEBIDA O LACTORREMPLAZANTE PARA  BOVINO PORCINO POLLOS Y PAVOS,Porcino,Ninguna
PULMOVET 250 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA O LACTORREMPLAZANTE PARA  BOVINO PORCINO POLLOS Y PAVOS # PULMOVET 250 mg/ml SOLUCION PARA ADMINISTRACIÓN EN AGUA DE BEBIDA O LACTORREMPLAZANTE PARA  BOVINO PORCINO POLLOS Y PAVOS,Pavos,Ninguna
LINCEX SOLUCION INYECTABLE,Perros,Inflamación en el punto de inyección
LINCEX SOLUCION INYECTABLE,Porcino,Inflamación en el punto de inyección
COMBECEN SOLUCION INYECTABLE,Caballos,Reacción en el punto de inyección
COMBECEN SOLUCION INYECTABLE,Porcino,Reacción en el punto de inyección
COMBECEN SOLUCION INYECTABLE,Bovino,Reacción en el punto de inyección
COMBECEN SOLUCION INYECTABLE,Ovino,Reacción en el punto de inyección
COMBECEN SOLUCION INYECTABLE,Caprino,Reacción en el punto de inyección
INSISTOR 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Bradicardia
INSISTOR 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Bradicardia
SELEBEN-E,Porcino,Dolor en el punto de inyección
SELEBEN-E,Bovino,Dolor en el punto de inyección
SELEBEN-E,Ovino,Dolor en el punto de inyección
SCOURGUARD 3,Bovino,Ninguna
LABHIDRO AD3E SOLUCION INYECTABLE,Ovino,Reacción local
LABHIDRO AD3E SOLUCION INYECTABLE,Bovino,Reacción local
LABHIDRO AD3E SOLUCION INYECTABLE,Caballos,Reacción local
LABHIDRO AD3E SOLUCION INYECTABLE,Porcino,Reacción local
VETIDINA AD3E,Porcino,Alopecia en el punto de inyección
VETIDINA AD3E,Bovino,Alopecia en el punto de inyección
VETIDINA AD3E,Ovino,Alopecia en el punto de inyección
ESVEX EMULSION INYECTABLE,Bovino,Dolor en el punto de inyección
ESVEX EMULSION INYECTABLE,Ovino,Dolor en el punto de inyección
ESVEX EMULSION INYECTABLE,Porcino,Dolor en el punto de inyección
APSASOL TILOSINA POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LECHE,Porcino,Edema local
TIALIN 125 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO POLLOS Y PAVOS,Porcino,Eritema
TIALIN 250 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO POLLOS Y PAVOS,Porcino,Eritema
NEOACTIVE 500.000 UI/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LACTORREEMPLAZANTE # NEOIVEN 500.000 UI/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LACTORREEMPLAZANTE,Pavos,Ninguna
NEOACTIVE 500.000 UI/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LACTORREEMPLAZANTE # NEOIVEN 500.000 UI/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LACTORREEMPLAZANTE,Patos,Ninguna
COCCIVEX 200 mg/ml,Gallinas,Ninguna
COCCIVEX 200 mg/ml,Pavos,Ninguna
NOV-A-VIT EMULSION INYECTABLE,Porcino,Absceso en el punto de inyección
NOV-A-VIT EMULSION INYECTABLE,Ovino,Absceso en el punto de inyección
NOV-A-VIT EMULSION INYECTABLE,Caprino,Absceso en el punto de inyección
NOV-A-VIT EMULSION INYECTABLE,Bovino,Absceso en el punto de inyección
BIOSVITA AD3E PARENTERAL,Bovino,Ninguna
BIOSVITA AD3E PARENTERAL,Caprino,Ninguna
BIOSVITA AD3E PARENTERAL,Porcino,Ninguna
BIOSVITA AD3E PARENTERAL,Ovino,Ninguna
BIOSVITA AD3E PARENTERAL,Caballos,Ninguna
VITABIOL B SOLUCION INYECTABLE,Bovino,Ninguna
VITABIOL B SOLUCION INYECTABLE,Caballos,Ninguna
VITABIOL B SOLUCION INYECTABLE,Gatos,Ninguna
VITABIOL B SOLUCION INYECTABLE,Caprino,Ninguna
VITABIOL B SOLUCION INYECTABLE,Perros,Ninguna
VITABIOL B SOLUCION INYECTABLE,Ovino,Ninguna
VITABIOL B SOLUCION INYECTABLE,Porcino,Ninguna
VITAMINAS ADE SUPER'S DIANA SOLUCION INYECTABLE,Ovino,Absceso en el punto de inyección
VITAMINAS ADE SUPER'S DIANA SOLUCION INYECTABLE,Bovino,Absceso en el punto de inyección
VITAMINAS ADE SUPER'S DIANA SOLUCION INYECTABLE,Caballos,Absceso en el punto de inyección
VITAMINAS ADE SUPER'S DIANA SOLUCION INYECTABLE,Porcino,Absceso en el punto de inyección
VITAMINAS ADE SUPER'S DIANA SOLUCION INYECTABLE,Perros,Absceso en el punto de inyección
"BUPAQ 0,3mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS",Perros,Sedación
"BUPAQ 0,3mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS",Gatos,Sedación
LIDOBEL 16 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Caballos,Bradicardia
LIDOBEL 16 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Perros,Bradicardia
LIDOBEL 16 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Gatos,Bradicardia
METABOLIK,Caprino,Ninguna
METABOLIK,Caballos,Ninguna
METABOLIK,Bovino,Ninguna
METABOLIK,Ovino,Ninguna
NOV-E-SEL,Bovino,Enrojecimiento en el punto de inyección
NOV-E-SEL,Ovino,Enrojecimiento en el punto de inyección
NOV-E-SEL,Porcino,Enrojecimiento en el punto de inyección
ARIXIL VET 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS Y GATOS,Perros,Elevación de la creatinina
ARIXIL VET 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS Y GATOS,Gatos,Elevación de la creatinina
ARIXIL VET 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,Perros,Emesis
CALIER B8 SOLUCION INYECTABLE,Bovino,Ninguna
CALIER B8 SOLUCION INYECTABLE,Caprino,Ninguna
CALIER B8 SOLUCION INYECTABLE,Porcino,Ninguna
CALIER B8 SOLUCION INYECTABLE,Ovino,Ninguna
MARBOCOLI 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Inflamación en el punto de inyección
APSASOL LINCOMICINA 400 mg/g,Porcino,Alergia
"DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO  PORCINO  PERROS Y GATOS # DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO, PERROS Y GATOS",Bovino,PANCREATITIS
"DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO  PORCINO  PERROS Y GATOS # DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO, PERROS Y GATOS",Caballos,PANCREATITIS
"DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO  PORCINO  PERROS Y GATOS # DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO, PERROS Y GATOS",Porcino,PANCREATITIS
"DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO  PORCINO  PERROS Y GATOS # DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO, PERROS Y GATOS",Perros,PANCREATITIS
"DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO  PORCINO  PERROS Y GATOS # DEXAFAST 2 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO, PERROS Y GATOS",Gatos,PANCREATITIS
LABIDROSOL B SOLUCION INYECTABLE # COMPLEJO B LABIANA SOLUCION INYECTABLE,Bovino,Inflamación en el punto de inyección
LABIDROSOL B SOLUCION INYECTABLE # COMPLEJO B LABIANA SOLUCION INYECTABLE,Porcino,Inflamación en el punto de inyección
LABIDROSOL B SOLUCION INYECTABLE # COMPLEJO B LABIANA SOLUCION INYECTABLE,Caprino,Inflamación en el punto de inyección
LABIDROSOL B SOLUCION INYECTABLE # COMPLEJO B LABIANA SOLUCION INYECTABLE,Caballos,Inflamación en el punto de inyección
"ISEMID 1 mg COMPRIMIDOS MASTICABLES PARA PERROS (2,5-11,5 kg)",Perros,Oliguria
"RHEUMOCAM 0,5 mg/ml SUSPENSION ORAL PARA GATOS",Gatos,Úlcera gástrica
"SELEHOLD 15 mg SOLUCION PARA UNCION DORSAL PUNTUAL PARA PERROS Y GATOS ≤ 2,5 kg",Perros,Convulsiones
"SELEHOLD 15 mg SOLUCION PARA UNCION DORSAL PUNTUAL PARA PERROS Y GATOS ≤ 2,5 kg",Gatos,Convulsiones
"ISEMID 2 mg COMPRIMIDOS MASTICABLES PARA PERROS (>11,5-23 kg)",Perros,Oliguria
ISEMID 4 mg COMPRIMIDOS MASTICABLES PARA PERROS (>23-60 kg),Perros,Oliguria
VETEMEX 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Colapso circulatorio
VETEMEX 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Colapso circulatorio
"ACEPONATO DE HIDROCORTISONA ECUPHAR 0,584 MG/ML SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA PARA PERROS",Perros,Reacción local
ROBORANTE CALIER SOLUCION INYECTABLE,Gatos,Ninguna
ROBORANTE CALIER SOLUCION INYECTABLE,Perros,Ninguna
"CATOBEVIT 100 mg/ml + 0,05 mg/ml SOLUCION INYECTABLE PARA BOVINOS CABALLOS PERROS Y GATOS",Gatos,Edema en el punto de inyección
"CATOBEVIT 100 mg/ml + 0,05 mg/ml SOLUCION INYECTABLE PARA BOVINOS CABALLOS PERROS Y GATOS",Perros,Edema en el punto de inyección
"CATOBEVIT 100 mg/ml + 0,05 mg/ml SOLUCION INYECTABLE PARA BOVINOS CABALLOS PERROS Y GATOS",Bovino,Edema en el punto de inyección
"CATOBEVIT 100 mg/ml + 0,05 mg/ml SOLUCION INYECTABLE PARA BOVINOS CABALLOS PERROS Y GATOS",Caballos,Edema en el punto de inyección
EQUISHIELD EHV EMULSION INYECTABLE PARA CABALLOS,Caballos,Reacción anafilactoide
HEDYLON 5 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Alteración del comportamiento
HEDYLON 25 mg COMPRIMIDOS PARA PERROS,Perros,Alteración del comportamiento
SYVAZUL BTV,Bovino,Hipersalivación
SYVAZUL BTV,Ovino,Hipersalivación
"AVIAMOX 697 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA  EN POLLOS, PAVOS Y PATOS",Pavos,Alergia
"AVIAMOX 697 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA  EN POLLOS, PAVOS Y PATOS",Patos,Alergia
PROBENCIL 300 mg/ml SUSPENSION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Alergia
PROBENCIL 300 mg/ml SUSPENSION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Alergia
ALFAXAN MULTIDOSIS 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Hiperexcitación
ALFAXAN MULTIDOSIS 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Hiperexcitación
VETMULIN 125 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO Y POLLOS,Porcino,Edema local
CENFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Enrojecimiento en el punto de inyección
CENFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Enrojecimiento en el punto de inyección
TULOXXIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y OVINO,Bovino,Fibrosis en el punto de inyección
TULOXXIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y OVINO,Porcino,Fibrosis en el punto de inyección
SPASMIPUR 20 mg/ml SOLUCION INYECTABLE,Ovino,Taquicardia
SPASMIPUR 20 mg/ml SOLUCION INYECTABLE,Caballos,Taquicardia
SPASMIPUR 20 mg/ml SOLUCION INYECTABLE,Bovino,Taquicardia
SPASMIPUR 20 mg/ml SOLUCION INYECTABLE,Porcino,Taquicardia
PROCACTIVE 300 mg/ml SUSPENSION INYECTABLE PARA BOVINO OVINO Y PORCINO,Porcino,Alergia
PROCACTIVE 300 mg/ml SUSPENSION INYECTABLE PARA BOVINO OVINO Y PORCINO,Bovino,Alergia
CLINDABACTIN 55 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS,Gatos,Diarrea
CLINDABACTIN 55 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS,Perros,Diarrea
CLINDABACTIN 220 mg COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Diarrea
CLINDABACTIN 440 mg COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Diarrea
"INTERFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO, CAPRINO Y PORCINO",Porcino,Enfermedades gastrointestinales
"INTERFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO, CAPRINO Y PORCINO",Bovino,Enfermedades gastrointestinales
"INTERFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO, CAPRINO Y PORCINO",Caprino,Enfermedades gastrointestinales
"INTERFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO, CAPRINO Y PORCINO",Ovino,Enfermedades gastrointestinales
DIXIE PERMETRINA 715 mg SOLUCION SPOT-ON PARA PERROS,Perros,Alopecia en el punto de inyección
QUINOBAL 100 mg/ml SOLUCION INYECTABLE PARA BOVINO  PORCINO  OVINO Y CAPRINO,Bovino,Diarrea
QUINOBAL 100 mg/ml SOLUCION INYECTABLE PARA BOVINO  PORCINO  OVINO Y CAPRINO,Caprino,Diarrea
QUINOBAL 100 mg/ml SOLUCION INYECTABLE PARA BOVINO  PORCINO  OVINO Y CAPRINO,Porcino,Diarrea
QUINOBAL 100 mg/ml SOLUCION INYECTABLE PARA BOVINO  PORCINO  OVINO Y CAPRINO,Ovino,Diarrea
"SYMPAGESIC 500 mg/ml + 4 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO Y PERROS",Porcino,Shock circulatorio
"SYMPAGESIC 500 mg/ml + 4 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO Y PERROS",Bovino,Shock circulatorio
"SYMPAGESIC 500 mg/ml + 4 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO Y PERROS",Perros,Shock circulatorio
"SYMPAGESIC 500 mg/ml + 4 mg/ml SOLUCION INYECTABLE PARA CABALLOS, BOVINO, PORCINO Y PERROS",Caballos,Shock circulatorio
"CALIERCORTIN 4 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO, CABALLOS, PERROS Y GATOS",Caballos,Hiperexcitación
"CALIERCORTIN 4 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO, CABALLOS, PERROS Y GATOS",Porcino,Hiperexcitación
"CALIERCORTIN 4 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO, CABALLOS, PERROS Y GATOS",Bovino,Hiperexcitación
"CALIERCORTIN 4 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO, CABALLOS, PERROS Y GATOS",Perros,Hiperexcitación
"CALIERCORTIN 4 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO, CABALLOS, PERROS Y GATOS",Gatos,Hiperexcitación
TILMOVET 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y OVINO,Bovino,Inflamación en el punto de inyección
